txn_id,signal_id,txn_time,amount,direction,txn_type,country,currency
TXN-00000488,SIG-00050,2024-01-24 15:40:20.644643,939.35,in,atm_withdrawal,US,USD
TXN-00009520,SIG-01051,2024-08-14 18:03:10.644330,9691.61,out,card_purchase,BR,GBP
TXN-00005472,SIG-00610,2024-04-18 10:19:28.912799,1295.47,in,payment,US,USD
TXN-00003061,SIG-00341,2024-03-19 14:19:39.558798,3366.39,out,card_purchase,US,USD
TXN-00005313,SIG-00593,2024-09-08 03:46:31.978839,4126.71,in,refund,US,USD
TXN-00003423,SIG-00383,2024-08-23 13:40:07.478632,4045.75,out,deposit,US,USD
TXN-00005982,SIG-00668,2024-04-24 18:57:44.439809,290.66,in,payment,US,USD
TXN-00001769,SIG-00192,2024-03-19 11:32:58.096405,255.79,in,card_purchase,US,USD
TXN-00010595,SIG-01169,2024-07-25 15:33:02.944885,721.34,in,withdrawal,US,USD
TXN-00006862,SIG-00768,2024-10-21 02:48:39.095283,468.99,in,card_purchase,US,USD
TXN-00008496,SIG-00941,2024-01-30 12:51:03.611512,968.58,out,atm_withdrawal,US,USD
TXN-00002216,SIG-00243,2024-10-14 21:12:12.002523,5128.36,out,deposit,TR,JPY
TXN-00006830,SIG-00763,2024-10-17 07:52:21.786428,2175.54,in,card_purchase,US,USD
TXN-00007213,SIG-00808,2024-05-22 01:56:57.061649,1327.0,out,refund,US,USD
TXN-00001684,SIG-00183,2024-09-28 06:14:20.751831,1249.25,out,withdrawal,US,USD
TXN-00004314,SIG-00477,2024-10-02 23:41:56.846894,1484.73,in,wire,US,USD
TXN-00002474,SIG-00271,2024-07-25 05:53:13.943852,798.31,in,atm_withdrawal,BR,JPY
TXN-00006833,SIG-00764,2024-03-24 08:32:08.107991,9500.84,out,deposit,US,USD
TXN-00009788,SIG-01082,2024-06-10 22:23:40.280367,1965.06,out,fx_exchange,US,USD
TXN-00010773,SIG-01190,2024-04-20 23:22:19.815846,6701.93,in,payment,US,USD
TXN-00007783,SIG-00865,2024-02-29 08:12:43.133092,1643.14,out,deposit,US,USD
TXN-00009237,SIG-01023,2024-11-10 15:16:59.964700,5076.21,in,wire,US,USD
TXN-00005275,SIG-00589,2024-08-10 19:10:45.183747,2787.94,in,payment,US,USD
TXN-00007638,SIG-00851,2024-01-14 23:59:19.771759,749.63,in,withdrawal,US,USD
TXN-00008932,SIG-00988,2024-08-08 03:40:02.248082,275.33,in,refund,US,USD
TXN-00001808,SIG-00196,2024-05-15 16:58:41.326905,2029.39,out,payment,US,USD
TXN-00007104,SIG-00794,2024-07-14 01:11:19.325082,9156.42,in,withdrawal,US,USD
TXN-00006958,SIG-00777,2024-07-04 14:59:20.631581,1770.95,out,atm_withdrawal,US,USD
TXN-00002070,SIG-00225,2024-11-14 21:07:20.962506,2916.58,in,bill_pay,US,USD
TXN-00002693,SIG-00296,2024-04-09 20:03:52.390793,240.75,out,payment,US,USD
TXN-00010638,SIG-01174,2024-03-31 11:01:25.989476,1435.11,out,payment,US,USD
TXN-00004265,SIG-00474,2024-11-11 11:38:23.063412,863.32,in,payment,US,USD
TXN-00004141,SIG-00460,2024-01-14 11:02:38.562606,3423.72,out,wire,TR,GBP
TXN-00008559,SIG-00947,2023-12-12 14:10:03.762609,603.41,out,payment,US,USD
TXN-00001255,SIG-00133,2023-12-07 11:26:46.060374,107.67,in,deposit,PA,USD
TXN-00001480,SIG-00159,2024-04-02 19:29:29.449834,145.86,out,payment,US,USD
TXN-00007324,SIG-00817,2024-03-21 09:41:43.175802,897.71,out,card_purchase,US,USD
TXN-00001202,SIG-00127,2024-06-04 12:22:01.746332,464.3,out,card_purchase,US,USD
TXN-00005655,SIG-00632,2024-04-30 20:04:15.445530,492.46,out,card_purchase,AE,JPY
TXN-00009685,SIG-01070,2024-03-30 20:41:08.758501,917.72,in,payment,US,USD
TXN-00002418,SIG-00265,2024-04-02 03:40:05.578394,1031.73,in,payment,US,USD
TXN-00005528,SIG-00617,2024-07-27 10:57:28.790229,5651.15,in,refund,US,USD
TXN-00003881,SIG-00430,2024-08-17 15:40:17.664553,306.55,in,deposit,US,USD
TXN-00005028,SIG-00561,2024-10-24 11:09:02.192737,1683.78,out,wire,US,USD
TXN-00006102,SIG-00684,2024-09-19 23:03:58.499321,542.76,in,fx_exchange,US,USD
TXN-00002448,SIG-00269,2024-01-06 16:10:23.589504,393.84,out,atm_withdrawal,US,USD
TXN-00010652,SIG-01176,2024-05-23 18:55:23.897290,1490.56,in,bill_pay,RU,JPY
TXN-00003144,SIG-00352,2024-10-20 09:07:11.583217,952.59,out,deposit,US,USD
TXN-00010484,SIG-01158,2024-01-23 15:38:00.986984,21863.87,in,transfer,US,USD
TXN-00008911,SIG-00985,2024-09-24 07:23:52.632429,968.45,out,card_purchase,US,USD
TXN-00006358,SIG-00713,2024-05-01 04:32:57.048945,2144.6,out,payment,US,USD
TXN-00008367,SIG-00923,2024-02-13 07:57:31.070361,1435.89,out,withdrawal,US,USD
TXN-00002408,SIG-00263,2024-10-28 20:10:59.044176,2874.07,out,withdrawal,US,USD
TXN-00000409,SIG-00041,2024-08-30 08:40:32.626417,736.47,in,withdrawal,US,USD
TXN-00005863,SIG-00656,2024-03-24 01:24:02.970099,1824.02,out,card_purchase,US,USD
TXN-00003096,SIG-00345,2024-03-25 00:38:11.196513,191.96,in,transfer,IN,JPY
TXN-00006955,SIG-00776,2024-04-01 10:57:34.398995,2808.44,in,withdrawal,US,USD
TXN-00009885,SIG-01093,2024-08-20 00:49:37.972618,3826.59,out,card_purchase,CN,USD
TXN-00006948,SIG-00776,2024-03-04 05:02:53.512380,4577.25,in,fx_exchange,US,USD
TXN-00008893,SIG-00983,2024-02-26 06:24:01.683078,2170.11,out,atm_withdrawal,BR,USD
TXN-00003718,SIG-00413,2024-03-20 03:46:52.565024,1338.44,in,card_purchase,US,USD
TXN-00003101,SIG-00346,2023-12-15 15:20:36.085804,416.21,out,payment,US,USD
TXN-00003648,SIG-00406,2024-07-12 05:17:43.586277,623.78,out,wire,IN,GBP
TXN-00002358,SIG-00257,2024-02-08 19:14:39.942377,2424.89,in,payment,NG,JPY
TXN-00002738,SIG-00300,2024-02-19 21:44:12.649339,6900.97,out,deposit,US,USD
TXN-00007052,SIG-00789,2024-09-13 15:22:58.892698,2072.1,out,card_purchase,RU,JPY
TXN-00007091,SIG-00792,2024-03-18 17:12:27.909405,2987.82,out,wire,US,USD
TXN-00006638,SIG-00742,2024-11-28 14:22:58.595134,2069.34,in,withdrawal,US,USD
TXN-00001580,SIG-00171,2024-08-10 07:10:38.318671,4745.93,in,card_purchase,US,USD
TXN-00005748,SIG-00644,2024-09-14 06:40:57.007439,3605.63,in,transfer,TR,USD
TXN-00001114,SIG-00116,2024-11-19 04:36:51.362653,213.16,in,bill_pay,US,USD
TXN-00002863,SIG-00317,2024-05-14 12:20:42.171046,825.29,in,deposit,US,USD
TXN-00006290,SIG-00706,2024-03-18 10:29:26.964510,2908.66,out,transfer,US,USD
TXN-00002168,SIG-00238,2024-07-29 00:05:49.755944,2907.42,in,payment,US,USD
TXN-00010857,SIG-01197,2024-07-26 00:45:07.130843,1723.36,in,card_purchase,CN,EUR
TXN-00007418,SIG-00828,2024-02-26 05:09:20.575431,731.38,out,refund,US,USD
TXN-00010713,SIG-01183,2024-11-30 20:14:53.882528,260.97,in,wire,US,USD
TXN-00010197,SIG-01124,2024-04-12 17:54:55.110508,2049.01,in,card_purchase,NG,GBP
TXN-00007334,SIG-00818,2024-02-26 14:50:41.135104,496.18,out,wire,US,USD
TXN-00002456,SIG-00269,2024-01-10 18:02:26.548660,1368.4,in,card_purchase,US,USD
TXN-00005027,SIG-00561,2024-10-24 15:57:43.434056,3605.32,in,card_purchase,UA,USD
TXN-00010260,SIG-01133,2024-03-03 13:03:36.803689,456.82,in,card_purchase,US,USD
TXN-00000652,SIG-00067,2024-12-27 22:02:16.347292,1514.02,out,transfer,US,USD
TXN-00010863,SIG-01198,2024-03-24 20:48:50.646696,5028.0,out,card_purchase,BR,GBP
TXN-00005166,SIG-00575,2024-05-03 04:25:49.965688,1622.87,in,withdrawal,US,USD
TXN-00006235,SIG-00700,2024-08-06 14:38:28.922246,206.55,out,card_purchase,US,USD
TXN-00000036,SIG-00004,2024-02-22 15:17:48.875068,1281.61,in,payment,US,USD
TXN-00009636,SIG-01066,2024-10-13 04:26:44.374892,5815.1,in,payment,US,USD
TXN-00003910,SIG-00435,2024-04-16 22:33:59.968449,162.12,in,payment,BR,JPY
TXN-00001826,SIG-00198,2024-11-28 23:13:47.531279,715.66,out,wire,US,USD
TXN-00001181,SIG-00125,2024-09-27 19:35:58.804947,130.6,in,bill_pay,US,USD
TXN-00005126,SIG-00571,2024-10-05 18:33:40.521386,1978.36,in,fx_exchange,UA,USD
TXN-00003435,SIG-00384,2024-10-27 02:11:50.536058,389.39,in,transfer,US,USD
TXN-00003647,SIG-00406,2024-07-05 18:44:15.829752,778.7,out,card_purchase,CN,JPY
TXN-00000305,SIG-00032,2024-10-29 02:40:34.135701,7620.49,out,bill_pay,PA,EUR
TXN-00004794,SIG-00536,2024-12-16 19:19:06.844326,617.46,out,transfer,US,USD
TXN-00007615,SIG-00850,2024-05-11 19:59:25.529760,1925.45,in,payment,US,USD
TXN-00000096,SIG-00009,2024-06-08 08:33:44.641273,686.66,out,payment,NG,GBP
TXN-00002849,SIG-00315,2024-04-30 08:19:30.296795,418.78,out,card_purchase,US,USD
TXN-00007761,SIG-00863,2024-09-07 15:20:29.428378,18841.13,out,withdrawal,BR,EUR
TXN-00007683,SIG-00856,2024-10-06 17:59:33.389689,775.3,in,atm_withdrawal,UA,JPY
TXN-00004103,SIG-00457,2024-03-05 11:09:22.156660,1931.89,in,transfer,US,USD
TXN-00007018,SIG-00786,2024-05-13 15:58:55.243546,438.74,out,transfer,US,USD
TXN-00003167,SIG-00353,2024-06-14 14:55:59.155266,1956.5,out,fx_exchange,US,USD
TXN-00005958,SIG-00666,2024-04-03 01:50:28.197045,3688.81,in,fx_exchange,US,USD
TXN-00000484,SIG-00050,2024-01-14 10:50:43.140946,452.5,in,deposit,IN,GBP
TXN-00004924,SIG-00550,2024-11-03 21:59:40.794467,613.15,out,card_purchase,US,USD
TXN-00003032,SIG-00337,2024-10-06 15:38:08.489493,1254.92,in,transfer,US,USD
TXN-00009574,SIG-01059,2024-06-19 17:47:39.038954,405.58,out,atm_withdrawal,US,USD
TXN-00008216,SIG-00908,2024-09-24 00:13:46.719967,839.51,in,card_purchase,US,USD
TXN-00007333,SIG-00818,2024-02-20 12:25:28.667683,1952.64,out,transfer,AE,GBP
TXN-00005606,SIG-00625,2024-10-16 22:40:28.052673,636.47,out,deposit,US,USD
TXN-00001916,SIG-00206,2024-04-18 08:01:26.725143,464.27,out,payment,US,USD
TXN-00008167,SIG-00902,2024-01-17 18:16:12.585933,15078.46,in,deposit,BR,EUR
TXN-00003756,SIG-00416,2024-10-10 08:52:52.684419,90.8,out,atm_withdrawal,US,USD
TXN-00001085,SIG-00113,2024-07-13 18:44:30.490679,11133.29,out,wire,US,USD
TXN-00010507,SIG-01159,2024-11-18 10:12:32.503008,42097.57,in,deposit,US,USD
TXN-00007919,SIG-00878,2024-01-15 21:23:17.303632,8827.14,out,wire,US,USD
TXN-00010630,SIG-01173,2024-05-21 15:42:13.832583,490.06,in,transfer,KY,JPY
TXN-00008961,SIG-00992,2024-02-27 20:20:43.321172,849.85,out,bill_pay,US,USD
TXN-00000102,SIG-00010,2024-08-28 01:35:07.949429,19767.98,out,payment,NG,USD
TXN-00009533,SIG-01052,2024-02-23 11:46:18.041205,27317.52,in,payment,IN,JPY
TXN-00003003,SIG-00334,2024-03-13 01:13:30.044351,2004.8,in,bill_pay,US,USD
TXN-00008263,SIG-00912,2024-06-21 22:49:15.410175,10566.03,in,payment,US,USD
TXN-00003131,SIG-00351,2024-01-09 01:43:34.926973,2087.6,in,transfer,US,USD
TXN-00000511,SIG-00051,2024-07-19 17:37:17.649859,228.34,in,withdrawal,US,USD
TXN-00000519,SIG-00052,2024-10-22 19:27:14.158972,4685.2,out,withdrawal,US,USD
TXN-00003013,SIG-00336,2024-10-23 03:34:04.584600,295.17,in,deposit,UA,USD
TXN-00008219,SIG-00908,2024-10-01 14:57:16.130696,10427.73,out,wire,US,USD
TXN-00001384,SIG-00147,2024-10-10 10:10:27.623261,1466.05,out,payment,TR,CHF
TXN-00005065,SIG-00565,2024-02-10 02:34:54.128337,563.98,in,bill_pay,US,USD
TXN-00000319,SIG-00034,2024-07-21 03:18:29.026787,5686.05,out,transfer,US,USD
TXN-00003950,SIG-00441,2024-07-15 22:01:35.609921,525.33,in,transfer,US,USD
TXN-00007709,SIG-00859,2024-05-21 09:56:12.097200,1810.55,out,deposit,US,USD
TXN-00004048,SIG-00451,2024-04-06 09:30:47.255888,2932.71,in,deposit,RU,JPY
TXN-00004049,SIG-00451,2024-04-21 01:02:06.275792,977.6,in,refund,US,USD
TXN-00007061,SIG-00790,2024-06-11 05:12:04.416009,7570.78,in,transfer,AE,JPY
TXN-00001714,SIG-00187,2024-09-26 18:33:47.325603,236.54,in,payment,US,USD
TXN-00007090,SIG-00792,2024-03-19 01:54:39.135258,10141.58,out,payment,US,USD
TXN-00003404,SIG-00378,2024-01-02 07:46:40.789983,1315.12,in,payment,TR,CHF
TXN-00007280,SIG-00814,2024-07-05 08:49:52.806030,10420.84,in,wire,AE,GBP
TXN-00004239,SIG-00470,2024-02-18 12:42:48.249663,749.52,in,refund,US,USD
TXN-00002620,SIG-00287,2024-08-05 04:52:15.383161,923.19,in,transfer,RU,GBP
TXN-00002877,SIG-00319,2024-11-23 14:21:07.784382,2284.25,out,wire,TR,EUR
TXN-00004300,SIG-00477,2024-10-04 13:07:31.696342,36798.21,in,deposit,US,USD
TXN-00010554,SIG-01165,2024-04-15 20:27:07.553053,940.9,in,atm_withdrawal,US,USD
TXN-00005212,SIG-00579,2024-07-20 22:39:25.376016,700.23,out,payment,US,USD
TXN-00008370,SIG-00923,2024-02-04 10:22:09.346078,374.06,in,withdrawal,US,USD
TXN-00010610,SIG-01171,2024-07-25 21:09:37.627624,670.03,out,refund,IN,CHF
TXN-00008993,SIG-00998,2024-09-01 07:50:06.944971,1052.87,in,deposit,US,USD
TXN-00002407,SIG-00263,2024-10-14 16:27:11.726893,2316.71,in,deposit,IN,JPY
TXN-00007797,SIG-00866,2024-08-18 11:19:38.043248,651.74,out,bill_pay,US,USD
TXN-00006946,SIG-00776,2024-03-08 12:36:27.140932,6941.72,in,payment,KY,GBP
TXN-00004029,SIG-00449,2024-11-06 10:41:36.497896,719.71,out,atm_withdrawal,US,USD
TXN-00010296,SIG-01136,2024-10-06 12:20:13.355750,899.98,in,transfer,US,USD
TXN-00007297,SIG-00815,2024-06-09 02:09:38.672712,1133.23,in,fx_exchange,US,USD
TXN-00009809,SIG-01083,2024-05-10 23:29:19.925535,14862.37,in,withdrawal,KY,USD
TXN-00004919,SIG-00549,2024-06-12 00:58:04.554955,505.59,out,card_purchase,US,USD
TXN-00005351,SIG-00598,2024-01-07 23:49:40.645345,227.74,in,wire,US,USD
TXN-00003843,SIG-00427,2024-05-09 17:25:25.845325,294.5,out,payment,US,USD
TXN-00010110,SIG-01116,2024-12-17 15:42:18.008356,35.25,out,deposit,CN,USD
TXN-00001286,SIG-00135,2024-10-08 18:47:40.085600,1103.46,out,atm_withdrawal,IN,CHF
TXN-00002518,SIG-00276,2024-06-10 08:53:42.142740,1559.41,in,transfer,US,USD
TXN-00004149,SIG-00460,2024-02-07 22:17:42.570422,6555.91,in,transfer,US,USD
TXN-00000108,SIG-00010,2024-07-24 20:36:17.623461,2791.6,out,deposit,US,USD
TXN-00006212,SIG-00697,2024-02-23 11:18:06.303514,1199.06,in,deposit,US,USD
TXN-00007363,SIG-00821,2024-09-20 10:06:39.181128,290.75,out,wire,US,USD
TXN-00010246,SIG-01130,2024-02-11 10:22:31.610003,1119.02,out,card_purchase,US,USD
TXN-00006762,SIG-00756,2024-09-03 09:00:59.378493,2439.8,in,wire,US,USD
TXN-00001069,SIG-00112,2024-11-15 13:59:02.936874,2068.72,in,transfer,US,USD
TXN-00003127,SIG-00350,2024-05-01 20:50:03.960618,2957.21,in,payment,US,USD
TXN-00002184,SIG-00240,2024-10-13 17:27:15.769153,1362.95,in,payment,KY,USD
TXN-00004504,SIG-00501,2024-06-27 08:52:32.714781,845.65,in,fx_exchange,US,USD
TXN-00008936,SIG-00989,2024-01-22 01:04:52.655199,11539.16,out,deposit,US,USD
TXN-00003903,SIG-00434,2024-02-10 14:09:41.591848,452.91,out,payment,US,USD
TXN-00010053,SIG-01108,2023-12-24 22:58:09.611173,1192.33,in,payment,TR,USD
TXN-00009198,SIG-01019,2024-08-02 19:42:32.211490,616.85,out,transfer,US,USD
TXN-00006837,SIG-00764,2024-03-22 12:41:39.746893,260.77,in,card_purchase,US,USD
TXN-00004162,SIG-00462,2024-02-19 21:13:49.312996,528.12,in,card_purchase,US,USD
TXN-00007326,SIG-00817,2024-03-03 00:21:10.572487,373.91,out,bill_pay,US,USD
TXN-00000304,SIG-00032,2024-10-20 00:50:56.045696,21424.4,in,withdrawal,KY,EUR
TXN-00008360,SIG-00922,2024-08-01 04:35:36.927849,227.71,in,card_purchase,KY,JPY
TXN-00002827,SIG-00312,2024-03-08 04:55:59.427820,667.96,in,transfer,US,USD
TXN-00004166,SIG-00462,2024-02-28 06:20:30.011555,8168.53,out,payment,US,USD
TXN-00001776,SIG-00193,2024-06-14 03:06:57.595477,830.79,out,card_purchase,US,USD
TXN-00005894,SIG-00658,2024-03-18 21:42:12.148727,187.92,out,card_purchase,US,USD
TXN-00005062,SIG-00565,2024-02-05 06:52:50.789310,30.79,out,deposit,US,USD
TXN-00003273,SIG-00363,2024-05-21 21:38:18.071802,10690.0,in,withdrawal,US,USD
TXN-00001150,SIG-00121,2024-05-28 16:41:50.429606,421.95,in,fx_exchange,AE,EUR
TXN-00003616,SIG-00402,2024-02-18 04:09:06.330171,58.38,out,atm_withdrawal,US,USD
TXN-00006725,SIG-00752,2024-09-13 12:29:06.982546,1881.71,in,fx_exchange,US,USD
TXN-00009776,SIG-01082,2024-05-24 06:39:20.517665,2141.98,in,transfer,US,USD
TXN-00006766,SIG-00756,2024-09-25 23:18:45.285331,1645.58,in,payment,US,USD
TXN-00002211,SIG-00242,2024-02-20 04:30:17.995579,2077.82,in,bill_pay,US,USD
TXN-00010295,SIG-01136,2024-10-06 00:21:58.125833,624.64,out,fx_exchange,US,USD
TXN-00008814,SIG-00976,2024-11-20 03:29:12.910825,1486.45,in,wire,US,USD
TXN-00009830,SIG-01086,2024-10-01 00:30:13.559638,6009.67,in,bill_pay,UA,EUR
TXN-00002792,SIG-00307,2024-08-02 00:14:45.349530,154.65,out,card_purchase,US,USD
TXN-00005530,SIG-00617,2024-08-03 12:23:15.280406,638.79,out,payment,KY,CHF
TXN-00004956,SIG-00553,2024-09-14 16:29:29.693754,1013.19,in,deposit,US,USD
TXN-00001435,SIG-00156,2024-10-31 20:52:53.486701,1040.45,out,bill_pay,US,USD
TXN-00008208,SIG-00907,2024-12-05 18:07:24.269227,155.06,in,atm_withdrawal,US,USD
TXN-00001161,SIG-00122,2024-10-24 10:11:35.099721,5521.02,in,payment,US,USD
TXN-00002957,SIG-00328,2024-03-27 04:24:04.395052,1180.38,out,payment,US,USD
TXN-00000252,SIG-00025,2024-01-19 21:36:47.996505,313.96,out,payment,US,USD
TXN-00009590,SIG-01061,2024-10-17 15:18:05.492813,28.47,in,transfer,US,USD
TXN-00007573,SIG-00844,2024-02-08 23:47:33.415326,825.15,in,payment,US,USD
TXN-00001209,SIG-00128,2024-08-21 04:19:29.115931,1056.65,in,payment,UA,CHF
TXN-00005663,SIG-00634,2024-07-28 01:59:47.726643,12655.17,in,card_purchase,US,USD
TXN-00001407,SIG-00151,2024-09-07 21:04:07.280886,8252.99,out,payment,US,USD
TXN-00002862,SIG-00317,2024-05-13 00:02:17.378687,3287.28,out,payment,US,USD
TXN-00010756,SIG-01187,2024-11-29 01:12:17.257619,919.66,out,bill_pay,TR,CHF
TXN-00004082,SIG-00454,2024-07-29 09:31:10.124814,565.49,in,payment,TR,GBP
TXN-00007067,SIG-00790,2024-06-16 03:20:35.394915,1700.57,in,withdrawal,US,USD
TXN-00010332,SIG-01141,2024-08-01 05:04:08.106209,1189.73,out,withdrawal,US,USD
TXN-00004374,SIG-00484,2024-10-07 02:15:17.407854,4921.65,in,refund,US,USD
TXN-00001497,SIG-00162,2024-10-07 04:32:08.896244,2198.36,out,wire,US,USD
TXN-00007121,SIG-00795,2023-12-29 20:12:19.748996,235.45,in,payment,US,USD
TXN-00002949,SIG-00327,2023-12-10 06:31:22.610685,801.0,in,atm_withdrawal,US,USD
TXN-00007106,SIG-00794,2024-07-31 16:10:00.946162,722.68,in,atm_withdrawal,US,USD
TXN-00010196,SIG-01123,2024-02-20 12:25:40.161714,822.69,in,atm_withdrawal,US,USD
TXN-00005177,SIG-00575,2024-05-07 20:58:07.384944,6261.98,in,fx_exchange,BR,EUR
TXN-00009548,SIG-01054,2024-09-05 03:13:25.292389,3015.72,out,atm_withdrawal,US,USD
TXN-00010764,SIG-01189,2024-11-08 08:26:37.788572,120.31,in,card_purchase,US,USD
TXN-00002129,SIG-00232,2024-04-10 04:13:03.850723,1319.56,out,withdrawal,US,USD
TXN-00008225,SIG-00909,2024-02-05 23:26:18.027645,9518.96,in,withdrawal,US,USD
TXN-00010583,SIG-01168,2024-10-17 08:01:19.766459,867.21,out,transfer,US,USD
TXN-00003352,SIG-00372,2024-03-14 02:40:12.642682,2965.16,out,payment,US,USD
TXN-00002948,SIG-00327,2023-12-27 08:23:42.486536,1318.51,in,card_purchase,KY,USD
TXN-00003027,SIG-00336,2024-10-20 15:09:12.739108,250.36,in,atm_withdrawal,UA,GBP
TXN-00002612,SIG-00287,2024-08-19 11:30:45.064176,827.62,out,transfer,US,USD
TXN-00000563,SIG-00056,2024-02-21 20:27:09.440440,193.71,out,fx_exchange,US,USD
TXN-00004658,SIG-00518,2024-09-07 22:34:34.437347,1479.33,out,transfer,US,USD
TXN-00005909,SIG-00660,2024-09-16 05:33:44.625091,215.07,in,wire,US,USD
TXN-00007775,SIG-00864,2024-06-21 12:13:56.451191,142.19,in,atm_withdrawal,US,USD
TXN-00000896,SIG-00093,2024-02-11 17:06:01.656545,1099.25,out,card_purchase,RU,GBP
TXN-00004120,SIG-00458,2024-03-26 09:20:10.956513,839.35,in,withdrawal,US,USD
TXN-00005129,SIG-00571,2024-09-30 00:40:27.384711,642.51,in,card_purchase,US,USD
TXN-00000217,SIG-00020,2024-11-18 11:42:32.562992,7589.75,in,payment,UA,JPY
TXN-00001731,SIG-00188,2024-02-24 11:18:10.216822,1680.88,in,transfer,US,USD
TXN-00003575,SIG-00398,2024-06-03 00:04:07.982754,2010.4,out,transfer,TR,EUR
TXN-00003465,SIG-00387,2024-05-19 09:18:56.844470,783.23,in,deposit,US,USD
TXN-00009514,SIG-01050,2024-08-20 14:11:02.309897,834.01,in,wire,US,USD
TXN-00006423,SIG-00720,2024-04-27 19:25:02.585865,471.6,out,atm_withdrawal,US,USD
TXN-00002520,SIG-00276,2024-06-09 16:29:46.586649,2951.59,in,atm_withdrawal,US,USD
TXN-00001704,SIG-00186,2024-11-16 14:12:42.400925,1381.89,out,payment,US,USD
TXN-00005197,SIG-00577,2024-05-27 09:41:34.253222,1099.2,out,wire,US,USD
TXN-00010287,SIG-01134,2024-03-16 21:02:39.599074,856.31,out,transfer,AE,USD
TXN-00003687,SIG-00409,2024-11-10 03:40:57.587345,581.75,out,wire,US,USD
TXN-00002139,SIG-00233,2024-05-22 00:25:43.943998,4409.77,in,payment,US,USD
