signal_id,signal_time,label,signal_type,channel
SIG-01116,2024-12-24 02:29:12,1,device_change,api
SIG-00333,2024-07-16 11:27:22,1,amount_spike,mobile
SIG-00989,2024-02-24 08:54:36,0,structuring,web
SIG-01173,2024-05-24 08:40:37,0,device_change,api
SIG-01002,2024-12-08 08:39:36,0,velocity,mobile
SIG-00378,2024-02-01 02:17:46,0,amount_spike,branch
SIG-00310,2024-10-28 10:58:17,0,amount_spike,branch
SIG-00156,2024-11-03 22:40:12,0,velocity,mobile
SIG-00211,2024-10-28 04:35:54,0,device_change,mobile
SIG-00087,2024-03-29 09:20:37,0,geo_anomaly,mobile
SIG-00169,2024-01-29 18:29:45,0,structuring,mobile
SIG-00995,2024-02-05 04:01:28,1,device_change,branch
SIG-00052,2024-11-25 14:25:03,0,geo_anomaly,web
SIG-00439,2024-11-05 10:17:35,0,unusual_hours,mobile
SIG-00550,2024-11-24 07:02:41,1,device_change,branch
SIG-00491,2024-08-07 00:01:59,1,velocity,atm
SIG-00426,2024-06-16 08:32:16,0,geo_anomaly,branch
SIG-00136,2024-02-29 04:18:23,0,geo_anomaly,web
SIG-01192,2024-06-22 01:26:39,0,counterparty_risk,atm
SIG-00055,2024-10-10 16:48:10,1,counterparty_risk,atm
SIG-00079,2024-05-21 14:47:54,1,counterparty_risk,mobile
SIG-00431,2024-11-04 16:58:44,0,amount_spike,atm
SIG-00185,2024-08-22 11:01:08,0,amount_spike,mobile
SIG-00057,2024-07-29 13:37:32,0,velocity,branch
SIG-00943,2024-08-19 19:19:40,1,velocity,atm
SIG-00851,2024-01-15 15:37:31,0,structuring,web
SIG-01164,2024-08-27 14:14:07,1,amount_spike,atm
SIG-00219,2024-10-06 02:55:54,0,counterparty_risk,api
SIG-00845,2024-12-18 02:19:10,0,device_change,web
SIG-00114,2024-06-20 21:04:59,0,structuring,atm
SIG-00549,2024-07-03 20:41:20,0,velocity,mobile
SIG-01019,2024-08-21 08:13:21,1,geo_anomaly,atm
SIG-01073,2024-12-14 19:05:46,0,structuring,branch
SIG-00175,2024-02-01 12:43:19,0,geo_anomaly,web
SIG-01023,2024-12-19 03:39:21,1,structuring,api
SIG-00616,2024-09-26 07:17:49,0,geo_anomaly,atm
SIG-00514,2024-04-26 11:09:48,0,device_change,web
SIG-00462,2024-03-02 08:07:03,0,device_change,api
SIG-00287,2024-08-24 12:14:38,0,unusual_hours,branch
SIG-00382,2024-07-18 06:18:29,0,counterparty_risk,web
SIG-01008,2024-12-08 13:09:18,1,geo_anomaly,api
SIG-00671,2024-08-18 15:49:36,1,velocity,atm
SIG-00535,2024-05-16 18:31:11,0,geo_anomaly,web
SIG-00910,2024-03-15 00:19:22,1,unusual_hours,branch
SIG-00293,2024-10-19 23:51:07,0,structuring,mobile
SIG-00124,2024-05-31 10:56:20,0,counterparty_risk,api
SIG-00583,2024-02-14 05:30:41,0,structuring,web
SIG-00141,2024-08-17 22:45:07,0,unusual_hours,web
SIG-00736,2024-10-30 15:58:59,0,unusual_hours,branch
SIG-00082,2024-04-01 22:33:06,0,counterparty_risk,web
SIG-00882,2024-06-12 18:54:00,0,unusual_hours,web
SIG-00740,2024-05-18 19:30:57,0,counterparty_risk,atm
SIG-01102,2024-03-12 09:56:36,0,counterparty_risk,mobile
SIG-00909,2024-02-16 21:25:56,1,counterparty_risk,api
SIG-01167,2024-09-12 02:31:58,0,geo_anomaly,atm
SIG-00937,2024-09-08 12:22:16,0,amount_spike,atm
SIG-00372,2024-03-15 05:12:47,1,amount_spike,branch
SIG-00890,2024-08-28 02:24:19,0,velocity,api
SIG-00157,2024-04-04 11:46:06,1,amount_spike,atm
SIG-00992,2024-03-23 15:04:23,0,velocity,atm
SIG-00622,2024-07-09 23:13:02,0,device_change,api
SIG-01038,2024-10-31 09:26:15,0,structuring,api
SIG-00245,2024-05-22 01:16:14,0,velocity,api
SIG-00159,2024-04-15 05:07:26,0,amount_spike,branch
SIG-00746,2024-09-29 01:41:59,1,amount_spike,atm
SIG-00193,2024-06-25 15:17:05,0,velocity,branch
SIG-00534,2024-10-08 00:02:55,0,unusual_hours,api
SIG-00904,2024-10-05 00:47:50,0,device_change,mobile
SIG-01004,2024-07-30 09:42:37,0,structuring,web
SIG-01070,2024-04-06 23:19:48,1,counterparty_risk,atm
SIG-00414,2024-01-24 06:25:47,0,geo_anomaly,api
SIG-01187,2024-12-07 16:15:37,0,counterparty_risk,api
SIG-00328,2024-04-07 20:46:15,0,unusual_hours,atm
SIG-00129,2024-09-14 11:36:20,0,velocity,mobile
SIG-00695,2024-12-21 16:23:06,1,unusual_hours,branch
SIG-00631,2024-11-11 07:21:11,1,geo_anomaly,web
SIG-00275,2024-06-24 08:47:48,0,geo_anomaly,api
SIG-01148,2024-07-29 18:38:53,0,unusual_hours,api
SIG-00309,2024-07-17 06:02:56,0,unusual_hours,mobile
SIG-00234,2024-10-16 04:48:59,0,velocity,atm
SIG-01048,2024-01-23 07:35:39,1,counterparty_risk,web
SIG-00623,2024-01-12 23:38:33,1,counterparty_risk,web
SIG-00644,2024-09-14 22:16:08,0,unusual_hours,branch
SIG-00479,2024-02-15 21:56:07,1,device_change,branch
SIG-00472,2024-10-06 01:49:13,0,geo_anomaly,mobile
SIG-00926,2024-07-26 08:20:05,0,amount_spike,api
SIG-01098,2024-11-25 16:19:43,0,velocity,mobile
SIG-00627,2024-11-15 11:17:22,0,counterparty_risk,mobile
SIG-00395,2024-02-17 03:10:48,0,geo_anomaly,web
SIG-00637,2024-06-08 20:21:17,1,velocity,branch
SIG-00768,2024-10-21 11:20:31,0,unusual_hours,web
SIG-00533,2024-09-22 23:13:59,0,amount_spike,branch
SIG-00718,2024-09-30 16:19:29,0,unusual_hours,atm
SIG-00667,2024-10-29 12:31:24,0,unusual_hours,mobile
SIG-00598,2024-01-10 12:56:25,0,device_change,mobile
SIG-00482,2024-07-04 16:58:42,1,geo_anomaly,api
SIG-01103,2024-04-07 17:31:12,1,unusual_hours,mobile
SIG-00315,2024-05-05 12:31:08,0,counterparty_risk,branch
SIG-00729,2024-03-06 05:46:22,1,structuring,api
SIG-00210,2024-12-03 17:16:30,0,geo_anomaly,web
SIG-00934,2024-11-02 01:43:54,0,unusual_hours,branch
SIG-00434,2024-02-27 20:13:39,0,structuring,atm
SIG-00329,2024-08-14 07:31:33,0,unusual_hours,web
SIG-00261,2024-05-07 14:23:49,1,counterparty_risk,web
SIG-01117,2024-11-05 21:34:14,1,amount_spike,atm
SIG-00307,2024-08-16 16:40:41,0,device_change,atm
SIG-01067,2024-07-04 01:49:07,1,amount_spike,branch
SIG-00928,2024-04-13 16:25:04,0,counterparty_risk,web
SIG-01025,2024-07-25 09:17:10,0,structuring,mobile
SIG-00271,2024-08-24 05:44:34,0,geo_anomaly,mobile
SIG-00291,2024-05-12 09:22:51,1,geo_anomaly,branch
SIG-00813,2024-12-22 12:40:11,1,amount_spike,web
SIG-00097,2024-10-06 12:35:45,0,amount_spike,atm
SIG-00888,2024-05-02 00:54:35,1,velocity,atm
SIG-00819,2024-03-26 23:08:29,0,unusual_hours,web
SIG-00032,2024-10-29 09:19:29,0,structuring,mobile
SIG-00763,2024-11-15 02:26:35,0,unusual_hours,branch
SIG-00954,2024-11-07 18:47:39,0,structuring,api
SIG-00320,2024-08-13 09:03:43,0,structuring,mobile
SIG-00299,2024-04-22 09:50:34,0,amount_spike,mobile
SIG-00200,2024-01-06 07:27:18,0,structuring,api
SIG-00561,2024-10-27 10:03:15,0,amount_spike,mobile
SIG-00179,2024-08-30 17:57:46,0,structuring,web
SIG-01132,2024-05-28 04:33:33,0,counterparty_risk,mobile
SIG-00089,2024-09-06 03:02:35,0,structuring,api
SIG-00788,2024-01-31 15:54:51,0,device_change,mobile
SIG-00725,2024-09-01 18:47:56,0,unusual_hours,mobile
SIG-00827,2024-04-19 18:44:22,0,amount_spike,mobile
SIG-00209,2024-08-02 08:14:35,0,counterparty_risk,atm
SIG-01040,2024-06-03 14:50:17,0,unusual_hours,web
SIG-00297,2024-01-18 15:19:13,0,geo_anomaly,api
SIG-00998,2024-09-13 02:10:38,1,counterparty_risk,web
SIG-00498,2024-09-14 00:21:12,0,counterparty_risk,atm
SIG-00835,2024-07-16 00:31:01,0,amount_spike,web
SIG-00430,2024-08-25 07:20:05,0,velocity,web
SIG-00507,2024-03-25 09:05:44,0,counterparty_risk,mobile
SIG-00831,2024-02-24 08:14:15,0,unusual_hours,mobile
SIG-00694,2024-08-02 17:04:23,0,counterparty_risk,api
SIG-00011,2024-01-18 19:06:51,0,unusual_hours,web
SIG-00848,2024-10-22 14:50:08,1,counterparty_risk,web
SIG-00463,2024-04-21 13:19:04,0,amount_spike,branch
SIG-00199,2024-08-24 11:05:42,1,counterparty_risk,web
SIG-00060,2024-11-30 16:44:13,0,geo_anomaly,api
SIG-00907,2024-12-14 07:30:02,1,geo_anomaly,api
SIG-00997,2024-02-24 12:20:58,0,device_change,web
SIG-00276,2024-06-10 13:18:16,0,unusual_hours,mobile
SIG-00809,2024-11-14 20:26:12,0,velocity,atm
SIG-00908,2024-10-07 05:25:05,1,device_change,mobile
SIG-00658,2024-03-29 21:56:22,0,device_change,mobile
SIG-00957,2024-03-22 20:37:32,0,unusual_hours,web
SIG-00886,2024-12-07 17:43:50,0,counterparty_risk,web
SIG-00221,2024-06-17 12:54:26,0,velocity,mobile
SIG-00789,2024-11-06 20:44:16,0,structuring,atm
SIG-00712,2024-05-02 08:05:45,1,counterparty_risk,api
SIG-00714,2024-02-22 20:39:15,1,counterparty_risk,atm
SIG-01113,2024-02-04 18:42:14,0,device_change,branch
SIG-01191,2024-03-26 17:58:43,1,geo_anomaly,mobile
SIG-00790,2024-06-23 09:21:13,1,geo_anomaly,web
SIG-00416,2024-10-12 03:14:15,0,counterparty_risk,branch
SIG-00899,2024-08-04 08:50:14,1,structuring,mobile
SIG-00935,2024-10-15 19:30:23,1,amount_spike,web
SIG-00266,2024-10-16 14:06:14,0,velocity,api
SIG-00632,2024-05-16 04:06:58,0,counterparty_risk,atm
SIG-00248,2024-08-06 00:41:45,0,amount_spike,atm
SIG-00683,2024-10-15 01:05:04,0,unusual_hours,web
SIG-00559,2024-01-21 20:29:13,0,velocity,api
SIG-01137,2024-09-04 23:26:16,0,amount_spike,web
SIG-00968,2024-06-02 10:43:20,0,counterparty_risk,mobile
SIG-01005,2024-08-16 05:33:49,0,unusual_hours,mobile
SIG-00985,2024-10-03 14:10:37,0,unusual_hours,api
SIG-00295,2024-03-24 17:14:54,0,counterparty_risk,atm
SIG-00520,2024-08-22 22:43:26,1,structuring,mobile
SIG-00771,2024-10-11 06:35:43,1,velocity,atm
SIG-00084,2024-10-30 20:22:14,1,device_change,web
SIG-00232,2024-04-24 21:43:49,0,unusual_hours,branch
SIG-00621,2024-05-29 02:37:08,0,structuring,atm
SIG-00334,2024-03-24 04:25:13,0,amount_spike,api
SIG-00130,2024-06-28 07:20:29,1,geo_anomaly,mobile
SIG-01012,2024-03-22 19:54:11,0,structuring,web
SIG-00645,2024-06-03 10:58:50,0,geo_anomaly,api
SIG-00974,2024-03-22 13:50:05,1,unusual_hours,branch
SIG-00383,2024-08-23 22:59:23,1,unusual_hours,api
SIG-00868,2024-04-19 19:01:05,0,velocity,mobile
SIG-00543,2024-09-18 18:26:32,1,device_change,web
SIG-01194,2024-07-03 19:17:12,1,structuring,mobile
SIG-00875,2024-04-12 13:49:25,0,device_change,mobile
SIG-00332,2024-11-11 19:25:53,0,geo_anomaly,atm
SIG-00410,2024-01-18 15:44:04,1,unusual_hours,atm
SIG-00077,2024-02-13 10:44:24,0,velocity,web
SIG-00869,2024-10-29 03:06:09,0,amount_spike,atm
SIG-00139,2024-04-30 19:05:34,0,velocity,atm
SIG-00544,2024-02-27 19:49:30,0,geo_anomaly,web
SIG-00674,2024-10-26 04:20:28,0,velocity,mobile
SIG-00921,2024-11-30 06:22:32,1,amount_spike,atm
SIG-00064,2024-09-17 20:36:23,1,unusual_hours,branch
SIG-00142,2024-11-26 05:18:26,1,unusual_hours,atm
SIG-00717,2024-02-16 13:40:31,0,velocity,web
SIG-00377,2024-08-21 23:16:18,1,counterparty_risk,web
SIG-00364,2024-01-07 07:23:18,0,amount_spike,mobile
SIG-00140,2024-09-20 01:20:03,1,device_change,api
SIG-00885,2024-05-27 11:32:01,0,counterparty_risk,branch
SIG-01042,2024-02-08 22:39:52,0,geo_anomaly,atm
SIG-00225,2024-12-04 04:48:48,0,device_change,atm
SIG-00515,2024-11-25 20:25:52,0,geo_anomaly,branch
SIG-00267,2024-08-18 13:22:06,0,velocity,api
SIG-01170,2024-02-10 10:18:16,0,geo_anomaly,web
SIG-00487,2024-12-16 15:31:39,1,structuring,web
SIG-00353,2024-07-02 11:35:56,1,unusual_hours,web
SIG-01006,2024-12-18 08:06:44,0,geo_anomaly,atm
SIG-00618,2024-09-26 07:15:47,1,unusual_hours,web
SIG-00668,2024-04-27 03:34:32,0,geo_anomaly,atm
SIG-00775,2024-09-27 18:20:39,1,structuring,atm
SIG-00554,2024-12-26 16:43:47,1,counterparty_risk,branch
SIG-00576,2024-08-27 11:46:11,0,geo_anomaly,api
SIG-00915,2024-12-23 17:51:18,0,geo_anomaly,atm
SIG-00466,2024-12-28 16:47:22,0,velocity,api
SIG-00591,2024-09-29 11:42:19,1,counterparty_risk,atm
SIG-00765,2024-10-06 18:44:28,0,velocity,mobile
SIG-00635,2024-05-05 16:40:13,1,unusual_hours,branch
SIG-00838,2024-09-20 23:22:42,0,amount_spike,mobile
SIG-00290,2024-01-12 21:44:41,1,velocity,atm
SIG-00040,2024-08-03 02:55:22,0,geo_anomaly,atm
SIG-00031,2024-03-18 05:59:09,0,geo_anomaly,branch
SIG-00243,2024-12-04 00:41:15,0,amount_spike,mobile
SIG-00429,2024-10-23 20:45:45,1,structuring,branch
SIG-00137,2024-03-25 15:34:36,1,device_change,branch
SIG-01101,2024-10-17 10:53:28,0,structuring,atm
SIG-00865,2024-02-29 11:14:52,0,geo_anomaly,mobile
SIG-00004,2024-03-18 05:18:04,1,unusual_hours,atm
SIG-00833,2024-10-01 23:40:51,1,structuring,web
SIG-00603,2024-02-12 11:20:02,1,unusual_hours,web
SIG-01034,2024-01-03 19:03:12,1,device_change,web
SIG-00655,2024-02-06 23:10:34,1,velocity,web
SIG-00844,2024-02-23 08:20:13,1,geo_anomaly,branch
SIG-00784,2024-02-28 16:38:23,0,counterparty_risk,mobile
SIG-01074,2024-12-21 17:48:08,0,structuring,branch
SIG-00443,2024-01-13 06:15:30,1,structuring,mobile
SIG-01178,2024-03-24 10:17:37,1,counterparty_risk,branch
SIG-00436,2024-04-26 05:03:58,0,structuring,branch
SIG-01169,2024-08-11 21:57:46,0,amount_spike,api
SIG-00101,2024-11-01 03:48:11,0,structuring,atm
SIG-00773,2024-06-16 12:13:29,0,unusual_hours,web
SIG-00495,2024-12-28 15:25:08,1,device_change,mobile
SIG-01028,2024-01-17 20:52:26,0,unusual_hours,atm
SIG-00807,2024-09-07 17:00:25,1,velocity,web
SIG-01142,2024-03-02 05:51:22,1,device_change,mobile
SIG-00846,2024-10-29 12:15:28,0,velocity,api
SIG-00987,2024-05-19 07:42:50,0,counterparty_risk,branch
SIG-00228,2024-04-21 16:55:17,0,unusual_hours,atm
SIG-01193,2024-06-16 17:55:56,1,amount_spike,api
SIG-00672,2024-05-20 05:40:45,1,amount_spike,web
SIG-00859,2024-06-05 15:52:57,0,velocity,web
SIG-00925,2024-08-14 08:08:53,0,structuring,api
SIG-00067,2024-12-28 10:36:28,1,amount_spike,mobile
SIG-00068,2024-03-02 06:18:25,0,device_change,atm
SIG-00817,2024-04-10 10:53:06,0,unusual_hours,mobile
SIG-00212,2024-12-20 17:47:10,0,counterparty_risk,api
SIG-00013,2024-11-19 22:28:21,0,amount_spike,web
SIG-00494,2024-01-25 18:17:07,1,structuring,mobile
SIG-01165,2024-04-28 00:35:44,0,velocity,web
SIG-00300,2024-03-09 05:35:39,1,geo_anomaly,api
SIG-00411,2024-08-10 04:42:18,1,device_change,atm
SIG-00757,2024-03-09 02:23:44,1,device_change,branch
SIG-01075,2024-02-19 19:20:20,0,velocity,atm
SIG-00696,2024-05-24 18:49:26,0,velocity,atm
SIG-01151,2024-06-23 12:33:51,1,amount_spike,branch
SIG-00724,2024-03-27 07:52:32,1,geo_anomaly,web
SIG-01016,2024-08-06 21:10:35,0,unusual_hours,mobile
SIG-00528,2024-07-01 07:58:04,1,counterparty_risk,branch
SIG-00600,2024-10-31 13:55:34,0,geo_anomaly,atm
SIG-01120,2024-01-31 18:17:17,0,device_change,web
SIG-00567,2024-10-22 16:15:49,0,amount_spike,mobile
SIG-00731,2024-03-13 16:22:29,1,amount_spike,branch
SIG-00274,2024-09-29 13:03:29,1,velocity,atm
SIG-00967,2024-08-23 13:36:12,1,velocity,branch
SIG-00238,2024-09-08 00:19:52,0,velocity,branch
SIG-00406,2024-08-01 22:12:50,1,amount_spike,web
SIG-00003,2024-02-06 09:18:10,1,geo_anomaly,web
SIG-00007,2024-05-10 17:17:18,1,velocity,mobile
SIG-00312,2024-03-08 09:07:41,1,structuring,web
SIG-01091,2024-05-20 04:24:35,0,amount_spike,atm
SIG-00452,2024-07-08 21:50:20,0,amount_spike,api
SIG-00722,2024-08-01 15:29:54,0,geo_anomaly,mobile
SIG-00216,2024-02-25 23:37:33,1,device_change,web
SIG-01086,2024-10-13 19:42:37,1,geo_anomaly,api
SIG-00028,2024-04-23 23:37:10,0,device_change,web
SIG-01158,2024-02-11 13:49:35,0,device_change,web
SIG-00362,2024-07-16 00:38:12,1,counterparty_risk,atm
SIG-00823,2024-04-28 15:05:26,1,unusual_hours,branch
SIG-00781,2024-04-12 22:01:12,0,velocity,atm
SIG-00629,2024-04-06 03:09:43,0,amount_spike,mobile
SIG-00454,2024-07-29 22:54:21,1,device_change,api
SIG-00739,2024-10-29 08:30:09,1,amount_spike,mobile
SIG-00536,2024-12-22 02:07:18,0,structuring,mobile
SIG-01050,2024-08-20 19:53:02,0,structuring,atm
SIG-00399,2024-11-15 18:04:45,0,structuring,mobile
SIG-00257,2024-02-17 10:36:39,1,counterparty_risk,api
SIG-00292,2024-08-08 10:21:19,0,structuring,mobile
SIG-00026,2024-04-07 15:20:57,0,structuring,mobile
SIG-00337,2024-10-24 14:30:16,1,structuring,web
SIG-00585,2024-10-02 02:27:34,1,geo_anomaly,api
SIG-00048,2024-02-12 10:27:40,0,geo_anomaly,web
SIG-00319,2024-11-28 03:54:43,1,velocity,atm
SIG-00107,2024-10-25 10:50:23,0,velocity,api
SIG-00799,2024-04-12 13:55:54,0,device_change,api
SIG-00056,2024-03-14 17:58:35,0,amount_spike,web
SIG-00523,2024-12-29 22:57:43,1,geo_anomaly,mobile
SIG-00214,2024-07-14 01:41:34,1,structuring,branch
SIG-00121,2024-06-10 11:17:48,0,velocity,web
SIG-00918,2024-10-23 01:50:48,0,geo_anomaly,branch
SIG-01068,2024-03-11 23:40:28,1,unusual_hours,web
SIG-01118,2024-05-25 02:36:48,0,geo_anomaly,api
SIG-00073,2024-04-12 12:30:29,1,structuring,api
SIG-00948,2024-05-08 13:45:49,0,amount_spike,branch
SIG-00747,2024-03-14 02:27:53,0,counterparty_risk,api
SIG-00716,2024-10-26 04:03:32,0,geo_anomaly,api
SIG-00558,2024-11-02 23:58:34,0,unusual_hours,mobile
SIG-01082,2024-06-11 18:13:45,1,unusual_hours,branch
SIG-01046,2024-02-01 02:01:27,1,structuring,mobile
SIG-00553,2024-09-22 19:20:17,1,amount_spike,atm
SIG-00562,2024-06-23 23:25:55,0,device_change,web
SIG-00425,2024-09-18 04:20:46,0,device_change,branch
SIG-01014,2024-09-01 11:44:31,0,structuring,mobile
SIG-00326,2024-09-20 15:47:07,0,structuring,mobile
SIG-00924,2024-05-05 04:48:44,0,unusual_hours,mobile
SIG-00317,2024-05-16 16:20:21,0,structuring,mobile
SIG-00804,2024-04-30 18:15:27,0,amount_spike,api
SIG-01163,2024-12-11 19:24:53,0,device_change,branch
SIG-00529,2024-06-09 18:06:31,0,velocity,atm
SIG-00837,2024-10-08 15:13:45,0,counterparty_risk,atm
SIG-00715,2024-06-23 14:15:56,0,device_change,branch
SIG-00901,2024-09-11 05:16:36,0,unusual_hours,api
SIG-00061,2024-04-05 14:53:36,1,structuring,atm
SIG-00723,2024-02-24 06:57:56,0,velocity,mobile
SIG-00093,2024-02-14 21:53:48,0,device_change,atm
SIG-00858,2024-10-18 07:35:02,0,geo_anomaly,web
SIG-00619,2024-02-24 11:39:30,0,geo_anomaly,branch
SIG-00352,2024-11-03 08:12:07,0,geo_anomaly,web
SIG-00933,2024-09-27 08:23:16,0,amount_spike,mobile
SIG-00281,2024-12-05 06:36:39,0,unusual_hours,api
SIG-00421,2024-03-14 17:22:55,0,counterparty_risk,web
SIG-01115,2024-02-22 22:24:44,0,amount_spike,branch
SIG-00360,2024-05-17 00:29:01,0,geo_anomaly,atm
SIG-00423,2024-07-15 07:05:01,1,device_change,web
SIG-00679,2024-11-09 19:39:57,0,geo_anomaly,atm
SIG-00527,2024-12-08 20:24:13,0,device_change,api
SIG-00478,2024-01-05 10:35:19,0,amount_spike,branch
SIG-01095,2024-07-08 07:46:15,0,counterparty_risk,api
SIG-00183,2024-09-28 17:59:26,1,device_change,branch
SIG-01092,2024-05-13 15:37:11,0,velocity,api
SIG-00433,2024-01-16 02:42:16,1,geo_anomaly,branch
SIG-00111,2024-09-27 06:22:04,1,structuring,api
SIG-00371,2024-11-12 16:08:07,0,structuring,api
SIG-00240,2024-10-17 07:01:35,1,device_change,web
SIG-00709,2024-06-27 01:08:18,0,unusual_hours,mobile
SIG-00630,2024-11-13 04:27:43,0,velocity,api
SIG-00594,2024-09-08 04:05:14,0,device_change,branch
SIG-00486,2024-05-20 12:04:45,0,velocity,atm
SIG-00701,2024-05-23 00:33:32,0,structuring,api
SIG-00262,2024-04-17 16:23:19,0,counterparty_risk,web
SIG-00480,2024-12-24 11:58:17,1,unusual_hours,branch
SIG-00650,2024-06-26 07:03:26,0,velocity,api
SIG-00340,2024-06-21 12:13:55,0,structuring,branch
SIG-00669,2024-06-01 03:23:02,0,amount_spike,mobile
SIG-00552,2024-09-25 20:35:20,1,structuring,api
SIG-00459,2024-04-04 03:52:21,0,velocity,atm
SIG-00184,2024-02-01 05:46:20,0,structuring,mobile
SIG-00138,2024-08-23 19:57:24,0,unusual_hours,mobile
SIG-01161,2024-01-06 01:58:16,1,geo_anomaly,api
SIG-00707,2024-02-25 07:01:01,0,unusual_hours,branch
SIG-00582,2024-05-06 13:28:47,0,device_change,branch
SIG-00081,2024-12-05 16:54:48,0,device_change,atm
SIG-00769,2024-11-24 11:04:39,0,velocity,branch
SIG-00870,2024-06-08 03:12:17,0,amount_spike,web
SIG-00762,2024-05-14 16:30:16,1,amount_spike,web
SIG-00030,2024-07-16 03:56:10,0,velocity,branch
SIG-00542,2024-04-16 16:46:09,1,structuring,branch
SIG-00166,2024-02-09 20:11:10,0,counterparty_risk,mobile
SIG-00249,2024-11-15 22:53:18,0,device_change,branch
SIG-00308,2024-10-16 15:24:17,1,amount_spike,web
SIG-00448,2024-06-27 12:22:28,0,structuring,branch
SIG-00347,2024-10-23 08:45:51,0,geo_anomaly,branch
SIG-00335,2024-03-01 04:11:37,1,velocity,branch
SIG-00286,2024-11-13 20:17:28,0,structuring,atm
SIG-00950,2024-01-04 10:03:23,0,velocity,branch
SIG-00098,2024-06-05 06:38:36,0,unusual_hours,branch
SIG-00468,2024-08-08 13:47:17,1,structuring,mobile
SIG-01037,2024-04-17 00:24:37,0,unusual_hours,api
SIG-00913,2024-07-12 17:25:11,1,velocity,atm
SIG-00756,2024-09-26 08:27:05,1,structuring,branch
SIG-00945,2024-05-03 10:39:38,0,structuring,web
SIG-00614,2024-11-06 22:15:27,1,amount_spike,atm
SIG-00802,2024-09-25 04:03:16,0,geo_anomaly,mobile
SIG-00758,2024-03-10 00:21:40,0,unusual_hours,mobile
SIG-00689,2024-07-17 08:49:55,0,amount_spike,mobile
SIG-00066,2024-02-08 19:53:34,0,velocity,atm
SIG-00794,2024-08-02 09:31:04,1,amount_spike,branch
SIG-00744,2024-11-24 06:01:47,0,geo_anomaly,web
SIG-00568,2024-06-23 07:31:34,1,structuring,atm
SIG-01084,2024-03-29 18:23:47,1,counterparty_risk,mobile
SIG-01099,2024-05-03 01:31:09,1,unusual_hours,branch
